,PitchRight,RollRight,YawRight,WristPosZRight,ElbowPosYRight,ElbowPosZRight,GrabStrenthRight,GrabAngleRight,PinchStrengthRight,TimeLeft,PitchLeft,RollLeft,YawLeft,WristPosXLeft,WristPosYLeft,ElbowposXLeft,GrabStrenthLeft,GrabAngleLeft,PinchStrengthLeft,label,PositionXDiff,PositionYDiff,PositionZDiff,xyzTotal,velxyzTotal
17,1.896736,-0.8558099,-1.875227,84.49014,-44.81966,58.46492,0.0,0.6924323,0.0,8.416300000000035,0.4924578,-3.119782,0.3668557,-98.39368,105.8434,-203.4692,0.6064529,3.119694,0.8336478,Spontaneous,72.83967,69.48010000000002,142.34462,174.3418844244357,101.72818239223054
18,1.542433,-0.8276713,-1.539445,86.57964,-29.79044,65.54862,0.0,0.5764198,0.0,8.498500000000035,0.5041917,2.704856,0.01884339,-91.88643,103.7934,-220.8624,0.2680535,3.03919,0.8251213,Spontaneous,66.72653,75.89860000000002,130.0664,164.71276725488192,408.0851853887677
19,0.895404,-0.7305912,-0.8242528,91.17892,3.285546,109.8537,0.0,0.0,0.0,8.581299999999999,0.3929906,2.015807,-0.1703562,-100.6356,115.8021,-208.4157,0.2361725,2.455109,0.4529915,Spontaneous,58.40549999999999,69.69720000000001,97.93698,133.6433843091771,423.3227673114568
20,0.534075,-0.7511235,-0.4978192,87.55992,18.79747,151.4639,0.0,0.1069475,0.0,8.665100000000052,0.6493309,1.542873,-0.2527789,-92.82977,117.5856,-156.3481,0.3674189,1.75982,0.3530118,Spontaneous,71.9066,52.1182,73.00616,114.96419134993992,365.14699119964683
21,0.4180632,-0.693671,-0.4329883,92.52137,45.74431,189.9001,0.0,0.2952237,0.0,8.747000000000014,0.7864191,1.062147,-0.03665531,-91.36728,111.0278,-174.3733,0.0,0.1727326,0.0,Spontaneous,86.05031000000001,46.486999999999995,63.88347,116.81949648640419,129.53241168465325
22,0.4115085,-0.5543848,-0.4152816,105.2609,65.62482,208.7466,0.0,0.4978991,0.0,8.830200000000048,0.630478,0.6398149,0.1845074,-94.36641,113.8078,-213.5544,0.0,0.0,0.0,Spontaneous,97.4015,56.205100000000016,72.96797,134.0536837023918,138.82152808206052
23,0.4026316,-0.4890219,-0.42133,106.2978,69.66252,209.1327,0.0,0.5977785,0.0,8.91330000000005,0.4336439,0.4130414,0.3906761,-101.2229,117.4408,-206.5653,0.0,0.0,0.0,Spontaneous,102.92192,66.53549999999998,72.31946,142.30249003945082,145.47592998050433
24,0.2708342,-0.4223089,-0.4189937,84.612,79.12331,206.0353,0.0,0.4366316,0.0,8.99550000000005,0.2445076,0.2280132,0.472513,-106.768,115.4659,-192.5307,0.0,0.1402842,0.0,Spontaneous,90.55452,57.18520000000001,46.24928,116.65875060186784,445.294951753308
25,0.2486351,-0.3955676,-0.364879,61.33182,63.34839,209.2063,0.0,0.614483,0.0,9.07910000000004,0.004628205,0.102219,0.5318143,-111.9698,120.7801,-163.1911,0.0,0.928799,0.0,Spontaneous,77.72356000000002,42.717600000000004,15.229703,89.98716009688168,425.3047597587243
26,0.2263745,-0.4018365,-0.3285785,40.05128,55.51642,205.2179,0.0,0.5336031,0.0,9.161700000000051,-0.09580856,0.2300428,0.5085792,-119.9672,136.4527,-230.6855,0.0,1.189152,0.0,Spontaneous,66.76227,20.303500000000014,-12.306264,70.85814661307899,384.7046776842449
27,0.2422649,-0.4410053,-0.3239324,28.77877,29.69507,214.7277,0.0,0.1710609,0.0,9.244000000000028,0.1177236,0.4266009,0.4652133,-123.7714,142.8174,-229.7252,0.6161882,2.03079,0.233826,Spontaneous,61.71422,-1.948900000000009,-25.011599,66.61849027075893,345.58941941416117
28,0.2693337,-0.4863365,-0.3295863,19.419,-14.92215,190.8951,0.0,0.1314491,0.0,9.326800000000048,0.4118885,0.6888708,0.2906938,-123.7371,144.2777,-226.1087,1.0,2.608076,0.43174,Spontaneous,54.84519999999999,-18.050299999999993,-36.899823999999995,68.52303484494082,195.78345480335386
